,,,,,"caravaggio8","zlsjs","villain","seohyun628","jakaso27","Itzvan","Solojazz","Joaquin"
1,"Righteous Protector",15,93.8%,,2,2,2,1,2,2,2,2
2,"Bloodmage Thalnos",8,100.0%,,1,1,1,1,1,1,1,1
2,"Crystalsmith Kangor",8,100.0%,,1,1,1,1,1,1,1,1
2,"Equality",16,100.0%,,2,2,2,2,2,2,2,2
2,"Flash of Light",9,56.2%,,,,,1,2,2,2,2
2,"Loot Hoarder",16,100.0%,,2,2,2,2,2,2,2,2
2,"Potion of Heroism",13,81.2%,,2,2,2,2,1,1,1,2
2,"Wild Pyromancer",16,100.0%,,2,2,2,2,2,2,2,2
2,"Youthful Brewmaster",3,37.5%,,,,1,1,1,,,
3,"High Priest Thekal",2,25.0%,,,,,,,1,1,
3,"Time Out!",13,81.2%,,2,2,2,2,1,1,1,2
3,"Zola the Gorgon",8,100.0%,,1,1,1,1,1,1,1,1
4,"Ancient Brewmaster",16,100.0%,,2,2,2,2,2,2,2,2
4,"Blessing of Kings",2,25.0%,,1,1,,,,,,
4,"Consecration",16,100.0%,,2,2,2,2,2,2,2,2
4,"Truesilver Champion",16,100.0%,,2,2,2,2,2,2,2,2
5,"Call to Arms",16,100.0%,,2,2,2,2,2,2,2,2
5,"Shrink Ray",1,12.5%,,,,,,,,,1
6,"Spikeridged Steed",15,93.8%,,2,2,2,2,2,2,2,1
6,"Sunkeeper Tarim",8,100.0%,,1,1,1,1,1,1,1,1
7,"Lynessa Sunsorrow",7,87.5%,,1,1,1,1,1,1,1,
9,"Uther of the Ebon Blade",8,100.0%,,1,1,1,1,1,1,1,1
25,"Shirvallah, the Tiger",8,100.0%,,1,1,1,1,1,1,1,1
