,,,,,"Fled","leomane","Rase","SargentoSC","Spiral","MJM"
1,"Fire Plume's Heart",6,100.0%,,1,1,1,1,1,1
1,"Omega Assembly",1,16.7%,,,,,,,1
1,"Shield Slam",12,100.0%,,2,2,2,2,2,2
1,"Town Crier",6,50.0%,,1,1,1,1,2,
3,"Blackwald Pixie",10,83.3%,,2,2,2,2,2,
3,"Gluttonous Ooze",2,33.3%,,,,,,1,1
3,"Ironbeak Owl",5,83.3%,,1,1,1,1,,1
3,"Phantom Militia",12,100.0%,,2,2,2,2,2,2
3,"Reckless Flurry",12,100.0%,,2,2,2,2,2,2
3,"Shield Block",12,100.0%,,2,2,2,2,2,2
3,"Stonehill Defender",12,100.0%,,2,2,2,2,2,2
3,"Tar Creeper",12,100.0%,,2,2,2,2,2,2
3,"Tinkmaster Overspark",1,16.7%,,,,,,,1
3,"Zola the Gorgon",1,16.7%,,,,,,,1
5,"Brawl",12,100.0%,,2,2,2,2,2,2
5,"Darius Crowley",1,16.7%,,,,,,1,
5,"Direhorn Hatchling",11,91.7%,,2,2,2,2,1,2
5,"Dyn-o-matic",12,100.0%,,2,2,2,2,2,2
5,"Supercollider",12,100.0%,,2,2,2,2,2,2
5,"Witchwood Grizzly",4,66.7%,,1,1,1,1,,
5,"Zilliax",6,100.0%,,1,1,1,1,1,1
7,"Amani War Bear",10,83.3%,,2,2,2,2,2,
7,"Azalina Soulthief",1,16.7%,,,,,,,1
7,"Dr. Boom, Mad Genius",1,16.7%,,,,,,,1
9,"Baku the Mooneater",6,100.0%,,1,1,1,1,1,1
