,,,,,"SnipedAgain#1736","Tincho#1287","lii#11987","Pal#1255","Ownerism#1396","cowboys367#1568","zaguios#1765","Starfruit#1658","Kevor24#1127","korextron#1532","amnesiac#11705","muzzy#1105","Activelee#1763","Nostam#1965","yoitsflo#1202","justsaiyan#1493","Purple#1567","Gallon#11212","Firebat#1225","HSKeDaiBiao#1597","Ike#1171","BlasèBlasè#1557","Joaquin#1259"
1,"Argent Squire",43,93.5%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,2
1,"Cold Blood",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Crystallizer",4,8.7%,,,,,,,,,,,,,,,,,,,,,1,1,2,
1,"Deadly Poison",45,97.8%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
1,"Dire Mole",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Fire Fly",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Southsea Deckhand",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Blink Fox",4,8.7%,,,,,,,,,,1,,,,,,,,,,,,,1,2
3,"Blood Knight",40,87.0%,,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1
3,"Edwin VanCleef",9,39.1%,,,,,,,1,1,1,1,1,1,,,,,,1,1,1,,,,
3,"Gluttonous Ooze",1,4.3%,,,,,,,,,,,,,,,,,,,,1,,,,
3,"Hench-Clan Thug",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"King Mukla",5,21.7%,,,,,,,,,,,,,1,1,1,1,1,,,,,,,
3,"SI:7 Agent",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",21,45.7%,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,1,1,,
3,"Vicious Fledgling",28,60.9%,,2,2,2,2,2,2,1,2,2,2,,,,,,,1,1,1,2,1,1,2
3,"Void Ripper",8,34.8%,,,1,1,1,1,,1,,,,,,,,,,,,,,1,1,1
5,"Captain Greenskin",10,43.5%,,1,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,
5,"Fungalmancer",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",37,80.4%,,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
5,"Leeroy Jenkins",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Myra's Unstable Element",21,91.3%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,
5,"Vilespine Slayer",46,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,"Baku the Mooneater",23,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
