,,,,,"Ant","killinallday","Kuonet","SwaggyG","cowboys367","StormFever","Kevor24","InquisitorM","Starfruit","klei","Plantz","Ike","Flamekilla","Itachi"
1,"Omega Assembly",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Shield Slam",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Gluttonous Ooze",15,53.6%,,1,1,1,1,1,1,1,1,1,1,1,1,2,1
3,"Ironbeak Owl",27,96.4%,,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3,"King Mukla",2,14.3%,,,,,,,,,,,,,1,1,
3,"Mind Control Tech",4,14.3%,,,,,,1,1,,,,,,,,2
3,"Reckless Flurry",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Shield Block",24,85.7%,,2,2,2,2,2,2,2,2,2,,,2,2,2
3,"Stonehill Defender",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tinkmaster Overspark",2,14.3%,,,,,,,,,,,,,1,,1
3,"Zola the Gorgon",14,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"Big Game Hunter",12,85.7%,,1,1,1,1,1,1,1,,1,1,1,1,1,
5,"Brawl",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Carnivorous Cube",13,46.4%,,1,1,1,1,,,,1,2,2,2,2,,
5,"Direhorn Hatchling",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Dragonmaw Scorcher",1,7.1%,,,,,,,,,,,1,,,,
5,"Dyn-o-matic",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Elise the Trailblazer",13,92.9%,,1,1,1,1,1,1,1,1,1,1,1,,1,1
5,"Faceless Manipulator",22,78.6%,,2,2,2,2,2,2,2,2,1,2,2,,,1
5,"Supercollider",28,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Tomb Lurker",1,7.1%,,,,,,,,,,,,1,,,
5,"Zilliax",14,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"Azalina Soulthief",4,28.6%,,,,,,,,1,1,,,,,1,1
7,"Dr. Boom, Mad Genius",14,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Baku the Mooneater",14,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
