,,,,,"Qwerty97#1908","Ryder#12369","jakaso27#1154"
1,"Fire Plume's Heart",3,100.0%,,1,1,1
2,"Cornered Sentry",6,100.0%,,2,2,2
2,"Drywhisker Armorer",6,100.0%,,2,2,2
2,"Execute",6,100.0%,,2,2,2
2,"Slam",2,66.7%,,,1,1
2,"Warpath",6,100.0%,,2,2,2
3,"Acolyte of Pain",6,100.0%,,2,2,2
3,"Gluttonous Ooze",3,100.0%,,1,1,1
3,"Phantom Militia",6,100.0%,,2,2,2
3,"Shield Block",6,100.0%,,2,2,2
3,"Stonehill Defender",6,100.0%,,2,2,2
3,"Tar Creeper",1,33.3%,,1,,
4,"Blood Razor",6,100.0%,,2,2,2
4,"Saronite Chain Gang",6,100.0%,,2,2,2
5,"Brawl",6,100.0%,,2,2,2
5,"Dyn-o-matic",6,100.0%,,2,2,2
5,"Supercollider",3,100.0%,,1,1,1
5,"Zilliax",3,100.0%,,1,1,1
8,"Scourgelord Garrosh",3,100.0%,,1,1,1
