,,,,,"fibonacci#1545","fr0zen#1184"
1,"Iron Hide",4,100.0%,,2,2
1,"Shield Slam",4,100.0%,,2,2
2,"Bring It On!",4,100.0%,,2,2
2,"Dead Man's Hand",2,100.0%,,1,1
2,"Execute",4,100.0%,,2,2
2,"Forge of Souls",4,100.0%,,2,2
2,"Slam",2,100.0%,,1,1
2,"Warpath",4,100.0%,,2,2
3,"Reckless Flurry",2,100.0%,,1,1
3,"Shield Block",4,100.0%,,2,2
4,"Blood Razor",4,100.0%,,2,2
5,"Brawl",4,100.0%,,2,2
6,"Gather Your Party",4,100.0%,,2,2
8,"Geosculptor Yip",2,100.0%,,1,1
8,"Grommash Hellscream",2,100.0%,,1,1
8,"Rotface",2,100.0%,,1,1
8,"Scourgelord Garrosh",2,100.0%,,1,1
8,"The Lich King",2,100.0%,,1,1
8,"Woecleaver",2,100.0%,,1,1
9,"Ysera",2,100.0%,,1,1
