,,,,,"Flamekilla","Fled","SargentoSC"
1,"Earth Shock",6,100.0%,,2,2,2
1,"Fire Fly",1,33.3%,,1,,
1,"Glacial Shard",2,66.7%,,,1,1
2,"Prince Keleseth",3,100.0%,,1,1,1
3,"Electra Stormsurge",3,100.0%,,1,1,1
3,"Gluttonous Ooze",3,100.0%,,1,1,1
3,"Haunting Visions",4,66.7%,,2,1,1
3,"Healing Rain",6,100.0%,,2,2,2
3,"Lone Champion",3,100.0%,,1,1,1
3,"Stonehill Defender",6,100.0%,,2,2,2
3,"Zentimo",3,100.0%,,1,1,1
3,"Zola the Gorgon",3,100.0%,,1,1,1
4,"Hex",6,100.0%,,2,2,2
4,"Saronite Chain Gang",2,66.7%,,,1,1
4,"Tidal Surge",6,100.0%,,2,2,2
5,"Dragonmaw Scorcher",4,66.7%,,2,1,1
5,"Elise the Trailblazer",3,100.0%,,1,1,1
5,"Volcano",6,100.0%,,2,2,2
5,"Zilliax",3,100.0%,,1,1,1
6,"Krag'wa, the Frog",3,100.0%,,1,1,1
6,"Rain of Toads",3,100.0%,,1,1,1
8,"Hagatha the Witch",3,100.0%,,1,1,1
8,"Primordial Drake",5,83.3%,,1,2,2
9,"Shudderwock",3,100.0%,,1,1,1
