,,,,,"Deathsie#1201"
1,"Northshire Cleric",2,100.0%,,2
2,"Prince Keleseth",1,100.0%,,1
3,"Curious Glimmerroot",2,100.0%,,2
3,"Gluttonous Ooze",1,100.0%,,1
3,"Nightmare Amalgam",2,100.0%,,2
3,"Tar Creeper",2,100.0%,,2
3,"Twilight Acolyte",2,100.0%,,2
4,"Duskbreaker",2,100.0%,,2
4,"Scaleworm",2,100.0%,,2
4,"Spellbreaker",1,100.0%,,1
4,"Twilight Drake",2,100.0%,,2
5,"Cobalt Scalebane",2,100.0%,,2
6,"Spiteful Summoner",2,100.0%,,2
8,"Free From Amber",2,100.0%,,2
8,"Grand Archivist",1,100.0%,,1
8,"The Lich King",1,100.0%,,1
9,"Alexstrasza",1,100.0%,,1
10,"Mind Control",2,100.0%,,2
