,,,,,"PNC#1102","HotMEOWTH#1829","Nalguidan#1733","Rase#1355","dog#1593","fr0zen#1184","Apxvoid#11872","seiger#1577","PrinceFancy#1443","ironFIRE#11368","Pelletire#2479","lnguagehackr#1412","seohyun628#1679","Kuonet#1814","Fled#1956"
1,"Lesser Jasper Spellstone",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Naturalize",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wild Growth",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Wrath",15,50.0%,,1,1,1,1,1,1,1,,2,2,1,1,1,1,
3,"Ferocious Howl",2,13.3%,,,,,,,,,1,1,,,,,,
3,"Tar Creeper",8,53.3%,,,,1,1,,,,,,1,1,1,1,1,1
3,"Witching Hour",27,90.0%,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1
4,"Branching Paths",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Ironwood Golem",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Oaken Summons",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Swipe",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Carnivorous Cube",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Harrison Jones",1,6.7%,,,,,,,,,,,,,,,,1
5,"Nourish",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Trogg Gloomeater",4,26.7%,,,,,,1,1,1,1,,,,,,,
8,"Primordial Drake",30,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,"The Lich King",15,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Dragonhatcher",25,83.3%,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2
9,"Hadronox",15,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Master Oakheart",15,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Sleepy Dragon",19,63.3%,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2
10,"Ultimate Infestation",4,26.7%,,,,,,,,,,,,1,1,1,1,
