,,,,,"HotMEOWTH"
0,"Backstab",2,100.0%,,2
0,"Preparation",2,100.0%,,2
1,"Cold Blood",2,100.0%,,2
1,"Fire Fly",2,100.0%,,2
1,"Southsea Deckhand",2,100.0%,,2
2,"Eviscerate",2,100.0%,,2
2,"Sap",2,100.0%,,2
3,"Edwin VanCleef",1,100.0%,,1
3,"Fan of Knives",2,100.0%,,2
3,"Hench-Clan Thug",2,100.0%,,2
3,"Raiding Party",2,100.0%,,2
3,"Shadowblade",2,100.0%,,2
4,"Dread Corsair",2,100.0%,,2
4,"Fal'dorei Strider",2,100.0%,,2
5,"Captain Greenskin",1,100.0%,,1
5,"Leeroy Jenkins",1,100.0%,,1
5,"Myra's Unstable Element",1,100.0%,,1
