,,,,,"Ant#1974","Tincho#1287","cowboys367#1568","killinallday#1537","control#1133","SwaggyG#1193","Cesky#1927","Starfruit#1658","Justine#1262","Firebat#1225","Purple#1567","Cydonia#1958","Gallon#11212","bobbyex#1314","Gladen#11397","HSKeDaiBiao#1597","strifecro#1914","muzzy#1105","Activelee#1763","Nostam#1965","yoitsflo#1202","justsaiyan#1493","amnesiac#11705","Jonahrah#1226","Ike#1171","zalae#1766","Akatsu#11192","zaguios#1765","Pal#1255","BlasèBlasè#1557","NoHandsGamer#1424","InquisitorM#11490"
1,"Lesser Jasper Spellstone",59,92.2%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,2,2,2,2,2,2
1,"Naturalize",2,6.2%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
2,"Power of the Wild",37,57.8%,,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,2,2,2,2,2,2,2,,,2,2,2,2,1,2
2,"Wild Growth",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Savage Roar",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",4,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
4,"Branching Paths",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Flobbidinous Floop",26,81.2%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
4,"Oaken Summons",7,10.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1
4,"Saronite Chain Gang",40,62.5%,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,,,,,,
4,"Soul of the Forest",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Strongshell Scavenger",42,65.6%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,,,,,,
4,"Swipe",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Violet Teacher",12,18.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
4,"Wispering Woods",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Arcane Tyrant",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,"Giggling Inventor",57,89.1%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
5,"Nourish",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Spreading Plague",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,"Malfurion the Pestilent",32,100.0%,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"Cenarius",2,6.2%,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
10,"Ultimate Infestation",64,100.0%,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
