,,,,,"Ike#1171"
1,"Fire Fly",2,100.0%,,2
1,"Unstable Evolution",2,100.0%,,2
2,"Prince Keleseth",1,100.0%,,1
3,"Gluttonous Ooze",1,100.0%,,1
3,"Lightning Storm",2,100.0%,,2
3,"Mind Control Tech",2,100.0%,,2
3,"Tar Creeper",2,100.0%,,2
4,"Corpsetaker",2,100.0%,,2
4,"Hex",2,100.0%,,2
4,"Saronite Chain Gang",2,100.0%,,2
5,"Fungalmancer",2,100.0%,,2
5,"Giggling Inventor",2,100.0%,,2
5,"Thrall, Deathseer",1,100.0%,,1
5,"Zilliax",1,100.0%,,1
7,"Corridor Creeper",2,100.0%,,2
8,"Al'Akir the Windlord",1,100.0%,,1
8,"Hagatha the Witch",1,100.0%,,1
8,"The Lich King",1,100.0%,,1
9,"Shudderwock",1,100.0%,,1
