,,,,,"bloodyface","lnguagehackr","noblord"
0,"Topsy Turvy",6,100.0%,,2,2,2
1,"Awaken the Makers",3,100.0%,,1,1,1
1,"Power Word: Shield",6,100.0%,,2,2,2
1,"Stonetusk Boar",3,100.0%,,1,1,1
1,"Test Subject",6,100.0%,,2,2,2
2,"Bloodmage Thalnos",3,100.0%,,1,1,1
2,"Dead Ringer",6,100.0%,,2,2,2
2,"Divine Spirit",3,100.0%,,1,1,1
2,"Doomsayer",2,66.7%,,1,1,
2,"Loot Hoarder",6,100.0%,,2,2,2
2,"Radiant Elemental",6,100.0%,,2,2,2
2,"Seance",1,33.3%,,,,1
2,"Shadow Visions",6,100.0%,,2,2,2
2,"Spirit Lash",6,100.0%,,2,2,2
3,"Twilight's Call",6,100.0%,,2,2,2
3,"Vivid Nightmare",6,100.0%,,2,2,2
4,"Witchwood Piper",2,66.7%,,1,1,
5,"Mass Hysteria",6,100.0%,,2,2,2
5,"Zilliax",1,33.3%,,,,1
7,"Psychic Scream",6,100.0%,,2,2,2
