,,,,,"SnipedAgain#1736","control#1133","Jonahrah#1226","HSKeDaiBiao#1597","zaguios#1765","BlasèBlasè#1557","Tincho#1287","Joaquin#1259","strifecro#1914","Activelee#1763","justsaiyan#1493"
1,"Flame Imp",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
1,"Kobold Librarian",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
1,"Lightwarden",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
1,"Soul Infusion",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
1,"Soulfire",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
1,"The Soularium",10,90.9%,,1,1,1,1,1,1,1,1,,1,1
1,"Voidwalker",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
1,"Voodoo Doctor",21,95.5%,,2,2,2,2,2,2,2,1,2,2,2
2,"Prince Keleseth",11,100.0%,,1,1,1,1,1,1,1,1,1,1,1
3,"Blood Knight",4,36.4%,,,,,1,,,,,1,1,1
3,"Doubling Imp",18,81.8%,,2,2,2,2,2,2,2,2,2,,
3,"Fungal Enchanter",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
3,"Happy Ghoul",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
3,"Tar Creeper",4,18.2%,,,,,,,,,,,2,2
4,"Lifedrinker",7,31.8%,,2,1,,,,,1,1,2,,
4,"Saronite Chain Gang",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
5,"Despicable Dreadlord",16,72.7%,,1,2,2,2,2,1,1,1,,2,2
5,"Doomguard",10,45.5%,,,,,,2,2,2,2,2,,
5,"Fungalmancer",22,100.0%,,2,2,2,2,2,2,2,2,2,2,2
5,"Leeroy Jenkins",6,54.5%,,1,1,1,1,,,,,,1,1
6,"Mossy Horror",3,27.3%,,,,1,,,1,,1,,,
