Spellbreaker,209,COMMON,EXPERT1
Saronite Chain Gang,174,RARE,ICECROWN
Fire Fly,168,COMMON,UNGORO
Glacial Shard,143,COMMON,UNGORO
Fungalmancer,134,COMMON,LOOTAPALOOZA
Kobold Librarian,130,COMMON,LOOTAPALOOZA
Hellfire,128,FREE,CORE
Dark Pact,128,COMMON,LOOTAPALOOZA
Lesser Amethyst Spellstone,128,RARE,LOOTAPALOOZA
Voidlord,128,EPIC,LOOTAPALOOZA
Possessed Lackey,127,RARE,LOOTAPALOOZA
Defile,127,RARE,ICECROWN
Amani Berserker,119,COMMON,EXPERT1
Vicious Fledgling,118,RARE,UNGORO
Call to Arms,108,EPIC,LOOTAPALOOZA
Knife Juggler,108,RARE,EXPERT1
Carnivorous Cube,107,EPIC,LOOTAPALOOZA
Ultimate Infestation,107,EPIC,ICECROWN
Blessing of Kings,103,FREE,CORE
Greedy Sprite,100,RARE,LOOTAPALOOZA
Plated Beetle,99,COMMON,LOOTAPALOOZA
Doomsayer,98,EPIC,EXPERT1
Spiteful Summoner,98,EPIC,LOOTAPALOOZA
Tar Creeper,92,COMMON,UNGORO
Acidic Swamp Ooze,91,FREE,CORE
Consecration,91,FREE,CORE
Doomguard,90,RARE,EXPERT1
Truesilver Champion,89,FREE,CORE
Equality,89,RARE,EXPERT1
Avenging Wrath,88,EPIC,EXPERT1
Crypt Lord,88,COMMON,ICECROWN
Druid of the Scythe,83,COMMON,GILNEAS
Faceless Manipulator,82,EPIC,EXPERT1
Loot Hoarder,78,COMMON,EXPERT1
Mountain Giant,78,EPIC,EXPERT1
The Lich King,73,LEGENDARY,ICECROWN
Stonehill Defender,71,RARE,UNGORO
Southsea Deckhand,68,COMMON,EXPERT1
Primordial Drake,66,EPIC,UNGORO
Bloodreaver Gul'dan,64,LEGENDARY,ICECROWN
Mind Control Tech,62,RARE,EXPERT1
Argent Commander,61,RARE,EXPERT1
Dire Wolf Alpha,61,COMMON,EXPERT1
Lord Godfrey,59,LEGENDARY,GILNEAS
Cinderstorm,58,RARE,GILNEAS
Sorcerer's Apprentice,58,COMMON,EXPERT1
Arcanologist,58,COMMON,UNGORO
Fireball,58,FREE,CORE
Frostbolt,58,FREE,CORE
Cobalt Scalebane,58,COMMON,ICECROWN
Primordial Glyph,58,EPIC,UNGORO
Mana Wyrm,58,COMMON,EXPERT1
Kirin Tor Mage,58,RARE,EXPERT1
Explosive Runes,58,RARE,LOOTAPALOOZA
Vicious Scalehide,58,COMMON,GILNEAS
Arcane Missiles,58,FREE,CORE
Counterspell,55,RARE,EXPERT1
Arcane Intellect,55,FREE,CORE
Ironbeak Owl,54,COMMON,EXPERT1
Northshire Cleric,54,FREE,CORE
Sunkeeper Tarim,54,LEGENDARY,UNGORO
Duskbreaker,54,RARE,LOOTAPALOOZA
Twilight Drake,54,RARE,EXPERT1
Lifedrinker,53,RARE,GILNEAS
Power Word: Shield,52,FREE,CORE
Grand Archivist,52,EPIC,LOOTAPALOOZA
Psychic Scream,52,EPIC,LOOTAPALOOZA
Divine Hymn,52,COMMON,GILNEAS
Wild Pyromancer,52,RARE,EXPERT1
Shadow Visions,52,EPIC,UNGORO
Mind Blast,52,FREE,CORE
Gluttonous Ooze,51,EPIC,UNGORO
Malfurion the Pestilent,51,LEGENDARY,ICECROWN
Prince Keleseth,51,LEGENDARY,ICECROWN
Genn Greymane,48,LEGENDARY,GILNEAS
Dire Mole,46,COMMON,LOOTAPALOOZA
Preparation,44,EPIC,EXPERT1
Skull of the Man'ari,43,LEGENDARY,LOOTAPALOOZA
Shadowstep,42,COMMON,EXPERT1
Druid of the Claw,41,COMMON,EXPERT1
Stonetusk Boar,40,FREE,CORE
Vanish,40,FREE,CORE
Novice Engineer,40,FREE,CORE
Youthful Brewmaster,40,COMMON,EXPERT1
Mimic Pod,39,RARE,UNGORO
Spiritsinger Umbra,38,LEGENDARY,UNGORO
Elven Minstrel,36,RARE,LOOTAPALOOZA
Acolyte of Pain,36,COMMON,EXPERT1
Twilight Acolyte,34,EPIC,LOOTAPALOOZA
SI:7 Agent,34,RARE,EXPERT1
Leeroy Jenkins,34,LEGENDARY,EXPERT1
Hench-Clan Thug,34,COMMON,GILNEAS
Cold Blood,34,COMMON,EXPERT1
Prince Taldaram,33,LEGENDARY,ICECROWN
Scaleworm,32,RARE,GILNEAS
Val'anyr,32,LEGENDARY,LOOTAPALOOZA
Lightfused Stegodon,31,RARE,UNGORO
Rin, the First Disciple,31,LEGENDARY,LOOTAPALOOZA
Argent Squire,30,COMMON,EXPERT1
Twisting Nether,29,EPIC,EXPERT1
Pyroblast,29,EPIC,EXPERT1
Aluneth,29,LEGENDARY,LOOTAPALOOZA
Deadly Poison,28,FREE,CORE
Vilespine Slayer,28,EPIC,UNGORO
Alexstrasza,27,LEGENDARY,EXPERT1
Mass Dispel,27,RARE,EXPERT1
Harrison Jones,26,LEGENDARY,EXPERT1
Shadowreaper Anduin,26,LEGENDARY,ICECROWN
Nourish,24,RARE,EXPERT1
Lesser Jasper Spellstone,24,RARE,LOOTAPALOOZA
Branching Paths,24,EPIC,LOOTAPALOOZA
Wild Growth,24,FREE,CORE
Oaken Summons,24,COMMON,LOOTAPALOOZA
Swipe,24,FREE,CORE
Voodoo Doll,24,EPIC,GILNEAS
Baku the Mooneater,23,LEGENDARY,GILNEAS
Wax Elemental,22,COMMON,LOOTAPALOOZA
Zola the Gorgon,22,LEGENDARY,LOOTAPALOOZA
Shroom Brewer,22,COMMON,LOOTAPALOOZA
Skulking Geist,21,EPIC,ICECROWN
Blink Fox,21,COMMON,GILNEAS
Ironwood Golem,21,COMMON,LOOTAPALOOZA
The Caverns Below,20,LEGENDARY,UNGORO
Witching Hour,20,RARE,GILNEAS
Naturalize,20,COMMON,EXPERT1
Sonya Shadowdancer,20,LEGENDARY,LOOTAPALOOZA
Igneous Elemental,20,COMMON,UNGORO
Mortal Coil,19,FREE,CORE
Wrath,19,COMMON,EXPERT1
Drygulch Jailor,19,COMMON,LOOTAPALOOZA
Murloc Warleader,18,EPIC,EXPERT1
Righteous Protector,18,COMMON,ICECROWN
Rockpool Hunter,18,COMMON,UNGORO
Unidentified Maul,18,RARE,LOOTAPALOOZA
Murloc Tidecaller,18,RARE,EXPERT1
Gentle Megasaur,18,EPIC,UNGORO
Nightmare Amalgam,18,EPIC,GILNEAS
