"battletag","class","deckstring"
"tom60229#3684","HUNTER","  AAECAR8EuwXbCe0JhtMCDY0BqAK1A94ElwiBCo7DAt3SAuHjAovlAsn4AqCFA6SIAwA= "
"tom60229#3684","PALADIN","  AAECAYsWCrcE8gX6BpYJucECws4Ct+kCzfQC6/cC/fsCCtwD9AXPBooHrwf2B/4Hs8ECiMcClugCAA== "
"tom60229#3684","ROGUE","  AAECAaIHCKICsgLIA68EysMCnvgC5/oChYoDC4wCywPUBfUF3QiBwgKfwgLrwgLR4QKL5QKm7wIA "
"tom60229#3684","WARLOCK","  AAECAfqUAwiKAfsHps4Cp84Cws4Cl9MC6uYCzfQCC/IF+waKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA= "
"MCweifu#4734","PALADIN","  AAECAZ8FCrcE8gX6Bv4HucECws4Ct+kCzfQC6/cC/fsCCtwD9AXPBooHrwf2B5YJs8ECiMcClugCAA== "
"MCweifu#4734","PRIEST","  AAECAa0GCgm0A+UE0wrXCuXMApDTAoL3AqCAA42CAwqXAqEE1grRwQLYwQK0zgLwzwLo0ALj6QKXhwMA "
"MCweifu#4734","ROGUE","  AAECAaIHCKICyAOvBMrDAv3qAp74Auf6AoWKAwuMAssD1AX1Bd0IgcICn8IC68IC0eECi+UCpu8CAA== "
"MCweifu#4734","HUNTER","  AAECAR8EuwXbCYbTAsn4Ag2NAagCtQPeBJcI7QmBCo7DAt3SAuHjAovlAqCFA6SIAwA= "
"hcm#1744","PRIEST","  AAECAa0GCgm0A9MK1wq+yALCzgKQ0wLy8QKggAONggMKlwKhBNHBAtjBAuXMAvDPAujQAuPpAp/rApeHAwA= "
"hcm#1744","PALADIN","  AAECAYsWCvoBswPtBc8GjtMCw+oCp/cC/fsChPwCvYYDCpwCnwPcA/QF9gfjywL8/ALZ/gLPhgPshgMA "
"hcm#1744","WARLOCK","  AAECAcn1AgrtBbYH08UCkMcCzukCt/ECnPgC8fsCoIADj4IDCooBxAj7DOfLAvLQAojSAsfTApboAtf+AteJAwA= "
