Creapz,SHAMAN,AAECAaoICv4F/wXTxQLPxwLCzgLrzwKc4gLD6gKn7gLv9wIKgQT1BN4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA==,Midrange Shaman
Creapz,WARLOCK,AAECAfqUAwr7BvsHzAiuzQKgzgLCzgKX0wK/8QLN9AKn9wIK8gWKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA=,Even Warlock
Creapz,DRUID,AAECAZICCKIJws4CmdMCr9MC/eEC+eYC8eoC8fsCC0Bf6QH+AeQIiMECyccCoM0CntIC5tMC3esCAA==,Big Druid
Creapz,HUNTER,AAECAR8K+AjGwgLTxQLd0gKG0wKc4gK26gLL7AKA8wK5+AIKjQGXCKvCAtjCApvLApzNAtPNAovhAuHjAvLxAgA=,Deathrattle Hunter
AKAWonder,DRUID,AAECAZICBOkBmdMChOYC4vgCDUBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAtfvAgA=,Token Druid
AKAWonder,HUNTER,AAECAR8G+AjtCYbTArbqAoDzAuL4AgyNAfsBlwirwgLYwgKbywKczQLd0gKL4QLh4wLy8QK5+AIA,Deathrattle Hunter
AKAWonder,WARLOCK,AAECAf0GCvsGigf7B6DOAqbOAsLOApfTAsvsAs30AoCKAwqKAfIFtgfhB40I58sC8dAC/dACiNIC2OUCAA==,Even Warlock
AKAWonder,ROGUE,AAECAaIHBIbCAoDTAs/hAsPqAg20AcQBnALtAp8D1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,Quest Rogue
GeneraL,HUNTER,AAECAR8G+AjTxQKG0wKc4gK26gKA8wIMjQHeBZcIq8IC2MICnM0C3dICi+EC4eMCy+wC8vECufgCAA==,Deathrattle Hunter
GeneraL,WARLOCK,AAECAfqUAwqTBIoHycICl9MCneIC/OUC2OcC2+kCnPgC4vgCCooB9wS2B+EH58sC8tAC+NACiNICi+EC6OcCAA==,Cube Warlock
GeneraL,DRUID,AAECAZICCla0A+0FmdMCm+gC/esCmu4Cv/IC5PsC9fwCCkBf6QHTA+QIoM0Ch84CmNICntIC29MCAA==,Mill Druid
GeneraL,SHAMAN,AAECAaoICNPFApziAqvnAsPqAqfuAp7wAu/3Apn7AguBBPUE3gX+Bf8FsgaXwQLHwQKbywLz5wLv8QIA,Shudderwock Shaman
Kufdon,SHAMAN,AAECAaoICv4F/wXTxQLPxwLCzgLrzwKc4gLD6gKn7gLv9wIKgQT1BN4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA==,Midrange Shaman
Kufdon,WARLOCK,AAECAcn1Agr7BvsHzAiuzQKgzgLCzgKX0wK/8QLN9AKn9wIK8gWKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA=,Even Warlock
Kufdon,DRUID,AAECAZICCKIJws4CmdMCr9MC/eEC+eYC8eoC8fsCC0Bf6QH+AeQIiMECyccCoM0CntIC5tMC3esCAA==,Big Druid
Kufdon,HUNTER,AAECAR8K+AjGwgLTxQLd0gKG0wKc4gK26gLL7AKA8wK5+AIKjQGXCKvCAtjCApvLApzNAtPNAovhAuHjAvLxAgA=,Deathrattle Hunter
pokrovac,HUNTER,AAECAYoWDI0B+AjtCevCAtPFAobTApziArbqAv3qAsvsAoDzAuL4AgmXCKvCAtjCApzNAt3SAovhAuHjAvLxArn4AgA=,Deathrattle Hunter
pokrovac,ROGUE,AAECAaIHBvzBAobCAoDTAs/hAtvjAsPqAgzEAZwC7QKfA4gFmwXUBYYJl8ECx9MC9uwC4vgCAA==,Quest Rogue
pokrovac,WARLOCK,AAECAf0GBPMFnOIC7/ECj4IDDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA==,Zoo Warlock
pokrovac,DRUID,AAECAZICBpnTApvoAv3rApruAr/yAuT7AgxAX+kB/gHkCKDNAofOApTSApjSAp7SAtvTAoTmAgA=,Mill Druid
ThijsNL,WARRIOR,AAECAQcIkwT5DKLHApruAs3vApL4Ap74AqCAAwtLogKiBN4F/webwgLTxQLK5wKD+wKO+wKe+wIA,Odd Warrior
ThijsNL,DRUID,AAECAZICCFa0A8UE3gWZ0wKb6ALi+AL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,Malygos Druid
ThijsNL,ROGUE,AAECAaIHBMgDrwSe+ALi+AINjALLA9QF8wX1Bd0IgcICn8IC68IC0eECi+UCpu8Cx/gCAA==,Odd Rogue
ThijsNL,WARLOCK,AAECAfqUAwaKB8wIps4Cl9MCy+wCzfQCDIoB8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAurmAgA=,Even Warlock
Rdu,MAGE,AAECAc2xAgRxqwSi0wLu9gINuwKVA7QE5gSWBewFv8ECwcECmMQCj9MC++wClf8Cuf8CAA==,Tempo Mage
Rdu,ROGUE,AAECAaIHBq8E1AXKywKe+ALi+AL6/gIMjALLA/MF9QXdCIHCAp/CAuvCAtHhAovlAqbvAsf4AgA=,Odd Rogue
Rdu,DRUID,AAECAZICCFa0A8UE3gWZ0wKb6ALk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,Malygos Druid
Rdu,WARLOCK,AAECAfqUAwTKwwKc4gLv8QKPggMNMIQB9wTOB8II9wybywKfzgLy0ALR4QKH6AL09wLT+AIA,Zoo Warlock
Scruffy,HUNTER,AAECAR8I+AjtCYbTApziArbqAsvsAoDzArT2AguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,Deathrattle Hunter
Scruffy,ROGUE,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,Quest Rogue
Scruffy,WARLOCK,AAECAf0GDPIFigf7B6DOAsLOApfTAurmAtjnAsvsAs30AvH3AoCKAwn7BrYH4QeNCOfLAvHQAv3QAojSAtjlAgA=,Even Warlock
Scruffy,DRUID,AAECAZICCLQDmdMCm+gC/esCmu4C4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,Malygos Druid
Tomas,ROGUE,AAECAYO6AgayAsgDrwSfwgL96gKe+AIMjALLA9QF8wX1Bd0IgcIC68IC0eECi+UCpu8C4vgCAA==,Odd Rogue
Tomas,PALADIN,AAECAaToAgavBKcF9QX5Cv3qAp74AgxG8wXrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gLi+AIA,Odd Paladin
