,,'Nicslay#2567','Sintolol#2775','Seiko#2721','Ronnie#2895','Rikitikitavi#2184','Zhym#2678','Babon#21904','Findan#2596','martim#2226','Hypno#22145','iNS4NE#21840','BoarControl#2986','Bunnyhoppor#2897','fenomeno#21327','Leta#21458','anduriel#21364','dawido#2832','A83650#2106','Meati#2841','kolmari#2701','pokrovac#2638','ShtanUdachi#2202','RENMEN#2291','xBlyzes#2682','Springy#2781','Glaser#2196','ThijsNL#2223','Rdu#2340'
1,"Dire Mole",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,  ,  ,  ,1,  ,1,  ,  
1,"Fire Fly",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
1,"Glacial Shard",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,"Hungry Crab",1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,  ,  ,  ,2,2,  ,  ,  ,  ,  
2,"Prince Keleseth",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"Crypt Lord",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Druid of the Scythe",1,1,1,2,2,2,2,2,2,2,1,2,2,2,  ,  ,  ,  ,  ,2,2,2,2,  ,  ,1,2,2
3,"Gluttonous Ooze",  ,  ,  ,  ,1,1,1,1,1,1,2,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,1,1,1,1,  ,1,1
3,"Greedy Sprite",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"Mind Control Tech",2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1
3,"Mindbreaker",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,2,  ,  
3,"Tar Creeper",1,1,2,1,1,1,  ,  ,  ,1,1,1,1,1,1,1,2,2,1,1,1,  ,  ,2,2,  ,  ,  
3,"Vicious Fledgling",1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,2,2,2,2,2,2,2,1,1,  ,  ,  ,  ,  ,  ,2,2
4,"Fire Plume Phoenix",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,  ,  
4,"Keeper of the Grove",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,  
4,"Saronite Chain Gang",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,"Spellbreaker",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
5,"Bittertide Hydra",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1
5,"Cobalt Scalebane",2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,  ,  ,1,1,  ,  ,  
5,"Druid of the Claw",  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,2,2
5,"Fungalmancer",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
5,"Harrison Jones",  ,  ,  ,  ,  ,  ,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,1,  ,  ,  ,1,  ,  ,  
5,"Leeroy Jenkins",1,1,1,1,1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,1,1,1,1,1,  ,  ,  ,  ,  
6,"Spiteful Summoner",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,"Spreading Plague",1,1,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
7,"Baron Geddon",  ,  ,  ,  ,  ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  ,  
7,"Malfurion the Pestilent",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"Grand Archivist",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,  ,  
8,"The Lich King",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,  ,1,1,1,1,  ,1,1
9,"Cenarius",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,  ,  ,  
10,"Ultimate Infestation",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22 28
