Ostkaka#1610,Secret Hunter,Even Paladin,Control Priest,Odd Warrior
Xixo#2659,Secret Hunter,Odd Paladin,Even Warlock,Odd Warrior
crane333#2314,Deathrattle Hunter,OTK DK Paladin,Clone Priest,Even Warlock
GeneraL#2662,Spell Hunter,OTK DK Paladin,Even Warlock,Odd Warrior
cursed#21642,Midrange Hunter,Odd Paladin,Odd Rogue,Even Shaman
ThijsNL#2223,Secret Hunter,OTK DK Paladin,Odd Rogue,Even Warlock
sirsalty#21189,Malygos Druid,Secret Hunter,Odd Paladin,Odd Rogue
yogg#2768,Big Spell Mage,Control Priest,Even Warlock,Control Warrior
Maverick#2233,Secret Hunter,Odd Paladin,Odd Rogue,Even Shaman
Kalàxz#2721,Deathrattle Hunter,Even Paladin,Clone Priest,Even Warlock
Theo#2868,Secret Hunter,OTK DK Paladin,Clone Priest,Odd Warrior
Hawkeye#2791,Deathrattle Hunter,OTK DK Paladin,Clone Priest,Even Warlock
Xeno#2951,Midrange Hunter,Odd Paladin,Even Shaman,Odd Warrior
Hoej#2550,Malygos Druid,Secret Hunter,Odd Paladin,Even Warlock
Jarla#21553,Malygos Druid,Secret Hunter,Even Paladin,Control Priest
Tars#2237,Mecha'thun Druid,Deathrattle Hunter,OTK DK Paladin,Mecha'thun Warlock
dawido#2832,Secret Hunter,Odd Paladin,Control Priest,Even Warlock
BoarControl#2986,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
exigo#2915,Secret Hunter,Even Paladin,Even Warlock,Odd Warrior
Sintolol#2775,Secret Hunter,Odd Paladin,Odd Rogue,Even Warlock
Faeli#2572,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
Lucken#2174,Secret Hunter,Odd Paladin,Control Priest,Even Warlock
Felkeine#2360,Secret Hunter,Odd Paladin,Odd Rogue,Even Shaman
Silvors#21299,Secret Hunter,Big Spell Mage,Control Priest,Odd Warrior
A83650#2106,Secret Hunter,Odd Paladin,Control Priest,Even Warlock
kolmari#2701,Big Spell Mage,Control Priest,Shudderwock Shaman,Odd Warrior
Findan#2596,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
Florindo#2246,Secret Hunter,Odd Paladin,Odd Rogue,Even Shaman
Savvat#21946,Secret Hunter,Control Priest,Odd Rogue,Even Shaman
Kalas#2638,Mill Druid,Deathrattle Hunter,Clone Priest,Cube Warlock
NoName#13139,Mill Druid,Deathrattle Hunter,OTK DK Paladin,Turvy OTK Priest
Windello#2498,Secret Hunter,Odd Paladin,Control Priest,Odd Warrior
fzmushko#2188,Secret Hunter,Control Priest,Odd Rogue,Even Shaman
Dizdemon#2464,Deathrattle Hunter,Even Paladin,Clone Priest,Even Warlock
FreddyB#2185,Malygos Druid,Secret Hunter,Odd Paladin,Odd Rogue
Bozzzton#1635,Secret Hunter,Control Priest,Odd Rogue,Even Warlock
Bunnyhoppor#2897,Secret Hunter,Even Paladin,Control Priest,Even Warlock
Swidz#2563,Deathrattle Hunter,Big Spell Mage,Even Paladin,Control Warrior
Snoodyboo#2897,Secret Hunter,OTK DK Paladin,Clone Priest,Cube Warlock
Meati#2841,Mecha'thun Druid,Turvy OTK Priest,Quest Rogue,Mecha'thun Warlock
TechnoGoose#2886,Malygos Druid,Secret Hunter,Odd Paladin,Odd Rogue
Viper#23812,Big Spell Mage,Control Priest,Shudderwock Shaman,Odd Warrior
magicgeek#2732,Deathrattle Hunter,Big Spell Mage,Control Priest,Odd Warrior
Orange#2309,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
Miroha#2641,Spell Hunter,OTK DK Paladin,Quest Rogue,Odd Quest Warrior
hunterace#2217,Secret Hunter,Even Paladin,Control Priest,Odd Warrior
Furyhunter#2166,Malygos Druid,Secret Hunter,Odd Paladin,Odd Rogue
fenomeno#21327,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
Eclipse#2834,Secret Hunter,Control Priest,Odd Rogue,Even Shaman
ThisIsChris#21601,Spell Hunter,OTK DK Paladin,Odd Rogue,Odd Warrior
iNS4NE#21840,Secret Hunter,Big Spell Mage,Control Priest,Odd Warrior
Thomerio#2246,Deathrattle Hunter,Even Paladin,Clone Priest,Cube Warlock
Psyhodel#2983,Secret Hunter,Odd Paladin,Odd Rogue,Even Shaman
Trec#2878,Midrange Hunter,Odd Paladin,Odd Rogue,Discard Warlock
s8ris#2419,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
Dimasik#21763,Deathrattle Hunter,Deathrattle Paladin,Clone Priest,Quest Rogue
Maur1#2225,Mill Druid,Deathrattle Hunter,Clone Priest,Even Warlock
Casie#2884,Secret Hunter,Even Paladin,Control Priest,Even Warlock
Jobsad#21419,Secret Hunter,Even Paladin,Control Priest,Odd Rogue
hatul#2516,Spell Hunter,Odd Mage,Control Priest,Odd Warrior
eilic#2496,Secret Hunter,Even Paladin,Odd Rogue,Even Shaman
MrLovalova#2172,Malygos Druid,Deathrattle Hunter,Clone Priest,Cube Warlock
Seiko#2721,Mill Druid,Secret Hunter,OTK DK Paladin,Odd Warrior
BuzzRay#2957,Spell Hunter,Odd Mage,Control Priest,Odd Warrior
MissPeace#2171,Deathrattle Hunter,Even Paladin,Clone Priest,Even Warlock
ThunderUP#2264,Secret Hunter,Control Priest,Odd Rogue,Even Warlock
Moyen#21244,Secret Hunter,Odd Paladin,Control Priest,Even Warlock
Gregoriusil#2794,Secret Hunter,Even Paladin,Odd Rogue,Even Shaman
RENMEN#2291,Deathrattle Hunter,Deathrattle Paladin,Clone Priest,Cube Warlock
Amazing#2489,Deathrattle Hunter,Even Paladin,Clone Priest,Cube Warlock
MM78#2809,Deathrattle Hunter,Clone Priest,Quest Rogue,Cube Warlock
Zuhex#21312,Secret Hunter,Odd Paladin,Even Warlock,Odd Warrior
gunzerker#2560,Deathrattle Hunter,Even Paladin,Clone Priest,Cube Warlock
Athanas#1830,Secret Hunter,Even Paladin,Odd Rogue,Even Warlock
mikolop#2935,Midrange Hunter,Odd Paladin,Even Warlock,Odd Warrior
Zyrios#2229,Spell Hunter,Big Spell Mage,Mecha'thun Warlock,Odd Warrior
Jengo#2254,Secret Hunter,Even Paladin,Odd Rogue,Even Shaman
Martyr#2146,Secret Hunter,Control Priest,Odd Rogue,Even Shaman
Elfandor#2767,Secret Hunter,Odd Paladin,Control Priest,Odd Rogue
DarkBeef#2388,Secret Hunter,Even Paladin,Odd Rogue,Cube Warlock
