"battletag","class","deckstring"
"Creapz#2951","SHAMAN","  AAECAaoICv4F/wXTxQLPxwLCzgLrzwKc4gLD6gKn7gLv9wIKgQT1BN4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA== "
"Creapz#2951","WARLOCK","  AAECAfqUAwr7BvsHzAiuzQKgzgLCzgKX0wK/8QLN9AKn9wIK8gWKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA= "
"Creapz#2951","DRUID","  AAECAZICCKIJws4CmdMCr9MC/eEC+eYC8eoC8fsCC0Bf6QH+AeQIiMECyccCoM0CntIC5tMC3esCAA== "
"Creapz#2951","HUNTER","  AAECAR8K+AjGwgLTxQLd0gKG0wKc4gK26gLL7AKA8wK5+AIKjQGXCKvCAtjCApvLApzNAtPNAovhAuHjAvLxAgA= "
"AKAWonder#2251","DRUID","AAECAZICBOkBmdMChOYC4vgCDUBf/QL3A+YFhQjkCKDNAofOApjSAp7SAtvTAtfvAgA="
"AKAWonder#2251","HUNTER","AAECAR8G+AjtCYbTArbqAoDzAuL4AgyNAfsBlwirwgLYwgKbywKczQLd0gKL4QLh4wLy8QK5+AIA"
"AKAWonder#2251","WARLOCK","AAECAf0GCvsGigf7B6DOAqbOAsLOApfTAsvsAs30AoCKAwqKAfIFtgfhB40I58sC8dAC/dACiNIC2OUCAA=="
"AKAWonder#2251","ROGUE","AAECAaIHBIbCAoDTAs/hAsPqAg20AcQBnALtAp8D1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA="
"GeneraL#2662","HUNTER","  AAECAR8G+AjTxQKG0wKc4gK26gKA8wIMjQHeBZcIq8IC2MICnM0C3dICi+EC4eMCy+wC8vECufgCAA== "
"GeneraL#2662","WARLOCK","  AAECAfqUAwqTBIoHycICl9MCneIC/OUC2OcC2+kCnPgC4vgCCooB9wS2B+EH58sC8tAC+NACiNICi+EC6OcCAA== "
"GeneraL#2662","DRUID","  AAECAZICCla0A+0FmdMCm+gC/esCmu4Cv/IC5PsC9fwCCkBf6QHTA+QIoM0Ch84CmNICntIC29MCAA== "
"GeneraL#2662","SHAMAN","  AAECAaoICNPFApziAqvnAsPqAqfuAp7wAu/3Apn7AguBBPUE3gX+Bf8FsgaXwQLHwQKbywLz5wLv8QIA "
"Kufdon#2933","SHAMAN","  AAECAaoICv4F/wXTxQLPxwLCzgLrzwKc4gLD6gKn7gLv9wIKgQT1BN4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA== "
"Kufdon#2933","WARLOCK","  AAECAcn1Agr7BvsHzAiuzQKgzgLCzgKX0wK/8QLN9AKn9wIK8gWKB7YH4QeNCOfLAvHQAv3QAojSAtjlAgA= "
"Kufdon#2933","DRUID","  AAECAZICCKIJws4CmdMCr9MC/eEC+eYC8eoC8fsCC0Bf6QH+AeQIiMECyccCoM0CntIC5tMC3esCAA== "
"Kufdon#2933","HUNTER","  AAECAR8K+AjGwgLTxQLd0gKG0wKc4gK26gLL7AKA8wK5+AIKjQGXCKvCAtjCApvLApzNAtPNAovhAuHjAvLxAgA= "
"pokrovac#2638","HUNTER","  AAECAYoWDI0B+AjtCevCAtPFAobTApziArbqAv3qAsvsAoDzAuL4AgmXCKvCAtjCApzNAt3SAovhAuHjAvLxArn4AgA= "
"pokrovac#2638","ROGUE","AAECAaIHBvzBAobCAoDTAs/hAtvjAsPqAgzEAZwC7QKfA4gFmwXUBYYJl8ECx9MC9uwC4vgCAA=="
"pokrovac#2638","WARLOCK","AAECAf0GBPMFnOIC7/ECj4IDDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA=="
"pokrovac#2638","DRUID","AAECAZICBpnTApvoAv3rApruAr/yAuT7AgxAX+kB/gHkCKDNAofOApTSApjSAp7SAtvTAoTmAgA="
"ThijsNL#2223","WARRIOR","  AAECAQcIkwT5DKLHApruAs3vApL4Ap74AqCAAwtLogKiBN4F/webwgLTxQLK5wKD+wKO+wKe+wIA "
"ThijsNL#2223","DRUID","  AAECAZICCFa0A8UE3gWZ0wKb6ALi+AL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA "
"ThijsNL#2223","ROGUE","  AAECAaIHBMgDrwSe+ALi+AINjALLA9QF8wX1Bd0IgcICn8IC68IC0eECi+UCpu8Cx/gCAA== "
"ThijsNL#2223","WARLOCK","  AAECAfqUAwaKB8wIps4Cl9MCy+wCzfQCDIoB8gX7BrYH4QeNCOfLAvHQAv3QAojSAtjlAurmAgA= "
"Rdu#2340","MAGE","  AAECAc2xAgRxqwSi0wLu9gINuwKVA7QE5gSWBewFv8ECwcECmMQCj9MC++wClf8Cuf8CAA== "
"Rdu#2340","ROGUE","  AAECAaIHBq8E1AXKywKe+ALi+AL6/gIMjALLA/MF9QXdCIHCAp/CAuvCAtHhAovlAqbvAsf4AgA= "
"Rdu#2340","DRUID","  AAECAZICCFa0A8UE3gWZ0wKb6ALk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA "
"Rdu#2340","WARLOCK","  AAECAfqUAwTKwwKc4gLv8QKPggMNMIQB9wTOB8II9wybywKfzgLy0ALR4QKH6AL09wLT+AIA "
"Scruffy#2659","HUNTER","  AAECAR8I+AjtCYbTApziArbqAsvsAoDzArT2AguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA== "
