,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter,
Brazil,Odd Warrior,Control Priest,Shudderwock Shaman,Cube Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Mill Druid,Deathrattle Hunter
Bulgaria,Odd Warrior,Mecha'thun Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Token Druid,Deathrattle Hunter
Chile,Odd Warrior,Resurrect Priest,Even Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
China,Mecha'thun Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Mill Druid,Deathrattle Hunter
Hong Kong,Odd Quest Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Netherlands,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,OTK DK Paladin,Quest Rogue,Tempo Mage,Mill Druid,Deathrattle Hunter
New Zealand,Quest Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Mech Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Norway,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Portugal,Odd Warrior,Control Priest,Shudderwock Shaman,Control Warlock,Mech Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Singapore,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Spain,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Mill Druid,Deathrattle Hunter
Switzerland,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,OTK DK Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Taiwan,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Mill Druid,Deathrattle Hunter
Ukraine,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Token Druid,Deathrattle Hunter
United Kingdom,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Mill Druid,Deathrattle Hunter
United States,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Even Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
