,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter
Argentina,AAECAQcGogKiBJAHsgjTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GCJACxQSKB9UK1gr7DKDOApDTAguhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoIBt4F08UCq+cC4OoCp+4C7/cCDIEE9QT+Bf8Fsgb2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCIoB8gWKB8nCApfTAp3iAtvpApz4AguTBPcEtgfhB+fLAvLQAvjQAojSAovhAvzlAujnAgA=,AAECAZ8FBK8Eg9QCi+UCnvgCDUanBfUFm8IC68ICg8cCuMcC48sC+9MC0eEC1uUCteYC/eoCAA==,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0ECJwC0ALTxQKgzgLCzgKb0wLy0wKj6wILTYoByQPsB5vCApbHAtXhAtfhApbkAr7sArfxAgA=,AAECAZICCP4BtAPFBMQG4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8G+AiG0wKc4gK26gL96gKA8wIMjQH7BZcI7QmrwgLYwgKczQLTzQLd0gKL4QLh4wLy8QIA
Australia,AAECAQcGkAOiBJAHsgjTwwKf0wIMS5EG/wf7DJvCAr7DAsrDApvLAszNAs/nAqrsApvzAgA=,AAECAa0GBpACxQSKB9UK1gqQ0wIMoQTlBPYHjQjyDPsM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoIBtPFAp3HAqvnAsPqAqfuAu/3AgyBBPUE/gX/BbIG9gf7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBNPFApfTAtvpApz4Ag2KAZME9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBLIC7QKvBMvsAg20AYwCzQP2BJsFiAfdCIYJgcIC68IC3NEC2+MCpu8CAA==,AAECAf0EAr8IotMCDnG7ApUDqwS0BOYElgXsBZYGwcECmMQCj9MC++wC7/ECAA==,AAECAZICBCT3A5TSApnTAg1AX/0C5gWFCOQIoM0Ch84CmNICntIC29MChOYC1+8CAA==,AAECAR8G+AiGwwKG0wK26gL96gKA8wIMjQH7AfsFlwjtCavCAtjCApzNAt3SAovhAuHjAvLxAgA=
Austria,AAECAQcGkAOiBNPDAtPFAp/TAtH1AgxLkQb/B/sMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GBpACxQSKB9UK1gqQ0wIMoQTlBPYHjQjyDPsM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAaoICt4F/wX4DNPFApziAqvnAsPqAqfuAp7wAu/3AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GBMnCApfTAtvpApz4Ag2KAZME9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,AAECAZ8FBK8EpwX96gKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBLIC7QKvBN0IDbQBjALNA70EmwWIB6QHhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0EBuYE7QW4CMHBAtrFAs3rAgyKAZwCrgPJA6sEywTtBPsMmMQCudECluQCpvACAA==,AAECAZICCKIJ4scCws4CmNICmdMCr9MC/eEC8eoCC0Bf6QHkCIjBAsnHAqDNAp7SAubTAvnmAt3rAgA=,AAECAR8I8gX7BfgI080ChtMCnOICtuoCgPMCC40BlwiXwQKrwgLYwgKczQLd0gKL4QLh4wL96gLy8QIA
Belarus,AAECAQcGkAOiBJAH5sIC08MCn9MCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GCJACxQTVCtYK+wzTxQKQ0wKJ8QILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBpkCigfmwgLCzgKX0wLN9AIMigHyBfsGtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBK8EpwWD1AKe+AINRvUF+QqbwgLrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gIA,AAECAaIHBrICyAOvBMrLAv3qAp74AgyMAssD1AX1Bd0IgcICn8IC68IC0eECi+UCpu8Cx/gCAA==,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAPFBLcGxAbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8I8gX4CNPFAsLOAobTApziArbqAoDzAguNAcbCAsrDApvLApzNAtPNAt3SAufhAuHjAu3qAvLxAgA=
Belgium,AAECAQcEkAOQB9PDAp/TAg1LogSRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GBsUEigfVCvsMkNMCifECDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICP8F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCJMEigfJwgLKwwKX0wLb6QK38QKc+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FBq8EpwXyBa8Hs8ECucECDMUD2wOnCLEIncICscICuMcC48sC+NIC0eEC1uUC3oIDAA==,AAECAaIHBrIC7QKvBL0ElwbL7AIMtAGMAs0DmwWIB6QHhgmBwgLrwgLc0QLb4wKm7wIA,AAECAf0EBKsEvwii0wK+7AINcbsClQO0BOYElgXsBZYGwcECmMQCj9MC++wC7/ECAA==,AAECAZICCP4BtAOTBMUE4scCws4CmdMCm+gCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8I+AjrwgLTxQKbywKG0wKc4gK26gKA8wILjQGXCO0Jq8IC2MICnM0C080Cxs4C3dICi+EC4eMCAA==
Brazil,AAECAQcGkAOiBLII08MCn9MC0fUCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAZ/HAgjFBNUK1gr7DNPFAsnHApDTAo7uAguQAqEE5QT2B40I8gzRwQLo0ALL5gL86gK98wIA,AAECAfe5AgjeBdPFAqvnAsPqAqfuAp7wAu/xAu/3AguBBPUE/gX/BbIG9gf7DJfBAsfBApvLAvPnAgA=,AAECAcn1AgqZAvsGigf7B/gMps4Cws4Cl9MCl+gCzfQCCooB8gW2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAaToAgSvBKcF/eoCnvgCDUb1BfkKm8IC68ICg8cCuMcC48sClc4C+9MC0eEC1uUCteYCAA==,AAECAYO6AgiyAsgDrwTKwwLKywKL5QL96gKe+AILjALLA9QF9QXdCIHCAp/CAuvCAtHhAqbvAsf4AgA=,AAECAf0EBJYGvwii0wK+7AINcbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wC7/ECAA==,AAECAbSKAwhW/gG0A8UEtwbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8I+wX4COvCAtPNAobTApziArbqAoDzAguNAZcI7QmrwgLYwgLKwwKczQLd0gKL4QLh4wLy8QIA
Bulgaria,AAECAQcGkAOiBNPDAtPFAp/TAtH1AgxLkQb/B/sMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GCMUE7QXTCpbEAtPFAonNApDTAsPqAgv7AdHBAtXBAsnHAsfLAvDPAujQAqniAsvmAurmAsXzAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBooHycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FBK8EpwWbwgKe+AINRvUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gL96gIA,AAECAaIHBs0DmwWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27AIA,AAECAf0EAqLTAtHhAg67ApUDxQPbA/4DlgXjBdAHpwidwgKxwgK+7ALO7wLeggMA,AAECAZICCP4BtAOTBMUEtwbCzgKZ0wKb6AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8G+AiG0wKc4gK26gLc7gKA8wIMjQGXCKvCAtjCAsrDApvLApzNAsbOAu3RAovhAuHjAvLxAgA=
Canada,AAECAQcGogSQB7II08MCn9MC0fUCDEuRBv8H+wybwgK+wwLKwwKbywLMzQLP5wKq7AKb8wIA,AAECAa0GCJACxQSKB9UK1gr7DKDOApDTAguhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMCAA==,AAECAfe5Agr5A/8F08UCq+cC3+kCw+oCp+4CnvAC7/EC7/cCCoEE9QT+BbIG9gf7DJfBAsfBApvLAvPnAgA=,AAECAf0GBvIFzAjCzgKX0wLq5gLN9AIMigH7BooHtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBK8EpwWDxwKe+AINRvUF+QqbwgK4xwLjywKVzgL70wLR4QKL5QLW5QK15gL96gIA,AAECAaIHBMgDrwTKywKe+AINjALLA9QF9QXdCIHCAp/CAuvCAsrDAtHhAovlAqbvAsf4AgA=,AAECAY0WBKLTAtHhAv3qAr7sAg27ApUDxQPbA/4DlgXjBdAHpwidwgKxwgLO7wLeggMA,AAECAbSKAwi0A8UE4scCoM0Cws4CmdMCm+gCv/ICC0Bf6QHTA8QG5AiHzgKU0gKY0gLb0wKE5gIA,AAECAYoWCPsFigf4CIbDAtPNAobTArbqAoDzAguNAfsBlwjtCavCAtjCApzNAt3SAovhAuHjAvLxAgA=
Chile,AAECAQcIysMC08MC08UCm8sCn9MCz+cCmu4C5e8CC0uQA5EG4gb/B/sMm8ICvsMCzM0CquwCm/MCAA==,AAECAa0GCJACxQTVCtYK+wzTxQKgzgKQ0wILoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICN4F08UCnOICq+cCw+oCp+4CnvAC7/cCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBooHycICl9MCneIC2+kCnPgCDIoBkwT3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FCPIFigf4DLnBAsLOArfpAs30Auv3Agv7AZkC3AP0BZYGzwavB7EIlgmzwQKbywIA,AAECAaIHBs0D1AWGwgKA0wLP4QLD6gIMxAGcAu0CnwOIBYYJl8EC/MEC68ICx9MC2+MC9uwCAA==,AAECAf0EAr8IotMCDnG7ApUDqwS0BOYElgXsBZYGwcECmMQCj9MCvuwC++wCAA==,AAECAZICCMIGognixwKHzgLCzgKZ0wKv0wLx6gILX+kB5AiIwQLJxwKgzQKe0gLm0wL94QL55gLd6wIA,AAECAR8I8gX4CO0JhtMCnOICtuoC/eoCgPMCC40BtQOXCKvCAtjCApzNAsbOAt3SAovhAuHjAvLxAgA=
China,AAECAR8GysMChtMCnOICtuoC/eoCgPMCDI0B+wWXCO0Jq8IC2MIC68ICnM0C3dICi+EC4eMC8vECAA==,AAECAZ/HAgiQAsUE1QrWCvsM08UCoM4CkNMCC6EE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICPUE9gfTxQKdxwKr5wLg6gKn7gLv9wILigGBBP4F/wWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAcn1AgaKB/gMoM4Cws4Cl9MCzfQCDIoB8gX7BrYH4Qf7B40I58sC8dAC/dACiNIC2OUCAA==,AAECAZ8FBK8E68ICi+UCnvgCDUanBfUFm8ICg8cCuMcC48sClc4C+9MC0eEC1uUCteYC/eoCAA==,AAECAR8GysMChtMCnOICtuoC/eoCgPMCDI0B+wWXCO0Jq8IC2MIC68ICnM0C3dICi+EC4eMC8vECAA==,AAECAf0ECtAC+wyIwQLTxQKgzgLCzgKb0wLy0wLV4QKj6wIKTYoByQPsB5vCApbHAtfhApbkAr7sArfxAgA=,AAECAbSKAwT+AcLOApnTAoTmAg1AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wIA,AAECAR8GhwT4CO0JhtMCtuoCgPMCDI0ByQSXCKvCAtjCApzNAtPNAt/SAuPSAovhAuHjAvLxAgA=
