Team,Week,Druid,Hunter,Mage,Paladin,Priest,Rogue,Shaman,Warlock,Warrior,Banned 1,Pick 1,Pick 1,Banned 2,Banned 2,Pick 2,Pick 2,Banned 3,Pick 3
Argentina,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Quest Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Quest Rogue,Shudderwock Shaman,Cube Warlock,Deathrattle Hunter,Quest Warrior,Big Spell Mage,Malygos Druid,Odd Paladin,Control Priest
Australia,Week 1,Token Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Token Druid,Odd Paladin,Cube Warlock,Odd Rogue,Shudderwock Shaman,Tempo Mage,Deathrattle Hunter,Quest Warrior,Control Priest
Austria,Week 1,Big Druid,Deathrattle Hunter,OTK Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Miracle Rogue,Shudderwock Shaman,Deathrattle Hunter,Big Druid,Odd Paladin,OTK Mage,Cube Warlock,Control Priest,Quest Warrior
Belarus,Week 1,Malygos Druid,Recruit Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Control Priest,Recruit Hunter,Even Warlock,Odd Paladin,Quest Warrior,Odd Rogue,Tempo Mage,Shudderwock Shaman
Belgium,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Zoo Warlock,Quest Warrior,Malygos Druid,Deathrattle Hunter,Shudderwock Shaman,Quest Warrior,Control Priest,Odd Paladin,Zoo Warlock,Miracle Rogue,Big Spell Mage
Brazil,Week 1,Malygos Druid,Deathrattle Hunter,Tempo Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Malygos Druid,Shudderwock Shaman,Even Warlock,Tempo Mage,Deathrattle Hunter,Control Priest,Odd Paladin,Odd Rogue,Quest Warrior
Bulgaria,Week 1,Malygos Druid,Deathrattle Hunter,Murloc Mage,Odd Paladin,Quest Priest,Quest Rogue,Shudderwock Shaman,Cube Warlock,Quest Warrior,Odd Paladin,Quest Warrior,Malygos Druid,Murloc Mage,Shudderwock Shaman,Quest Priest,Cube Warlock,Deathrattle Hunter,Quest Rogue
Canada,Week 1,Malygos Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Shudderwock Shaman,Even Warlock,Quest Warrior,Shudderwock Shaman,Even Warlock,Malygos Druid,Quest Warrior,Deathrattle Hunter,Odd Rogue,Odd Paladin,Control Priest,Big Spell Mage
Chile,Week 1,Token Druid,Deathrattle Hunter,Big Spell Mage,Odd Paladin,Control Priest,Odd Rogue,Even Shaman,Zoo Warlock,Quest Warrior,Deathrattle Hunter,Quest Warrior,Token Druid,Control Priest,Big Spell Mage,Odd Rogue,Zoo Warlock,Even Shaman,Odd Paladin
China,Week 1,Token Druid,Recruit Hunter,Big Spell Mage,Odd Paladin,Control Priest,Miracle Rogue,Shudderwock Shaman,Even Warlock,Odd Control Warrior,Shudderwock Shaman,Token Druid,Even Warlock,Odd Control Warrior,Odd Paladin,Control Priest,Miracle Rogue,Recruit Hunter,Big Spell Mage
