,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter,
Australia,AAECAQcIogLQAtHDAtPFAs/HApL4Ap74Ao77AgtLkQOiBPwE/webwgKixwLK5wLi+AKe+wKz/AIA,AAECAa0GBpACxQTVCtYKkNMC4vgCDKEE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCKMBogLTxQKgzgKX0wLb6QKc+AKAigMLigHbBrYHm8IC58sCrs0C8tACiNIC2OUC6OcC4vgCAA==,AAECAZ8FBKcF+Qr96gKe+AINRvMF68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAuvCAtHhAovlAqbvAsf4AuL4AgA=,AAECAf0EBHHtBaLTAu72Ag27ApUDqwS0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICCFa0A8UE3gWZ0wKb6ALi+AL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8IRPgI08UChtMCnOICtuoCy+wCgPMCC40BlwirwgLYwgKczQLd0gKL4QLh4wLy8QK5+ALi+AIA,
Austria,AAECAQcM3gX5DNPFAqLHArrsApruAs3vApL4Ap74AuL4ArP8AqCAAwlLogT/B5vCAsrnAp3wAoP7Ao77Ap77AgA=,AAECAa0GBIgF7QXi+ALxgAMNigH7AeUE0QrRwQLYwQLwzwLo0AKp4gKm8AKC9wKh/gLQ/gIA,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAf0GBK8EnOIC7/ECj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA=,AAECAZ8FBKcF+Qr96gKe+AINRvMF9QWDxwK4xwLjywL70wLR4QLW5QK15gLi+AL2/QLW/gIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBnGrBO0FotMC7vYC74ADDLsClQO0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICAvcDmdMCDkBf/QLmBYUI5AigzQKHzgKY0gKe0gLb0wKE5gLX7wLi+AIA,AAECAR8K+AjtCdPFAobTApziArbqAv3qAsvsAoDzAuL4AgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA==,
Belarus,AAECAQcOogL8BKoG+QzRwwLTxQLPxwK67AKa7gLN7wKS+AKe+AKD+wKggAMIS6IE/webwgLK5wKd8ALi+AKe+wIA,AAECAa0GBsUE1QrWCvsM08UCkNMCDJACoQTlBPYHjQjyDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICPsM08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4F/wWyBpfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBq8E8wX3zQKc4gLv8QKPggMMMIQBzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA==,AAECAZ8FBJvCAuvCAv3qAp74Ag1G8wX5CoPHArjHAuPLAvvTAtHhAtblArXmAuL4Avb9Atb+AgA=,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBHGi0wLu9gLvgAMNuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICCFa0A5nTAp3iApfoApvoAo/2AvX8AgtAX+kB/gHTA+QIoM0Ch84CmNICntIC29MCAA==,AAECAR8IRPgI08UChtMCtuoCy+wCgPMCtPYCC40BlwirwgLYwgKczQLd0gKL4QLh4wLy8QLv9QK5+AIA,
Belgium,AAECAQcIkQP5DNPFAs3vAp3wApL4Ap74AqCAAwtLogKiBP8Hm8ICoscCyucC4vgCg/sCjvsCnvsCAA==,AAECAa0GAvsMvsgCDvgC5QT2B6UJ0QrSCvIM0cEC2MECzswCpfUCl/YCkfsCzIEDAA==,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCJMEigfJwgKX0wKd4gLb6QKc+ALi+AILigH3BLYH4QfnywLy0AL40AKI0gKL4QL85QLo5wIA,AAECAZ8FCvsB8gWPCbnBAojHAqvQArfpAv3qAvH+AqCAAwrcA/QF9gebwgKl9QLW/gLZ/gLh/gKRgAPMgQMA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0ECLQDxQTtBbgIws4C7vYCxvgClf8CC4oByQOrBMsE5gSWBZjEAs3rAuL4ArT8Arn/AgA=,AAECAZICCLQDmdMCm+gC/esCmu4C4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8G+AjtCYbTApziArbqAoDzAgyNAZcIq8IC2MICnM0C3dICi+EC4eMCy+wC8vECufgC4vgCAA==, 
Brazil,AAECAQcMkQPeBaoG+QzKwwLTxQLPxwKa7gKS+AKe+AKO+wKggAMJS6ICogT/B5vCAqLHAsrnAoP7Ap77AgA=,AAECAZ/HAgaQAsUE1QrWCqDOApDTAgyhBOUE9geNCPIM+wzRwQLJxwLo0ALL5gL86gK98wIA,AAECAfe5AgreBf8F08UCnOICq+cCw+oCy+wCp+4C7/cCmfsCCoEE9QT+BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAfqUAwyKAZMBowHyBfsGigf7B6DOAsLOApfTAsvsAs30Agm2B+EHjQjnywLx0AL90AKI0gLY5QKAigMA,AAECAaToAgSvBJXOAv3qAp74Ag1G8wX1BfkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgCAA==,AAECAYO6AgSGwgKA0wLP4QLD6gINxAGcAu0CnwOIBdQFhgmXwQL8wQLH0wLb4wL27ALi+AIA,AAECAf0EBO0FotMC7vYCvfoCDbsClQOrBLQE5gSWBZjEAvvsApLvAqP9ApX/Arn/Au+AAwA=,AAECAbSKAwi0A5nTApvoAv3rApruAuL4AuT7AvX8AgtAX+kB0wPkCKDNAofOApjSAp7SAtvTAr/yAgA=,AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
Bulgaria,AAECAQcK0ALeBdPFAqLHAs/HAs3vApL4Ap74AuL4AqCAAwpLogKiBP8Hm8ICyucCg/sCjvsCnvsCs/wCAA==,AAECAa0GAsUEkNMCDpACoQTlBPYHjQjyDPsM0cECyccC6NACy+YC/OoCvfMC4vgCAA==,AAECAaoICCCZAv4F88ICws4C9uwCp+4CzfQCC70B0wHZB/AHsQiRwQKswgKbywKW6AKU7wKw8AIA,AAECAf0GBK8E8wWc4gKPggMNMIQBzgfCCPcMm8sC980Cn84C8tAC0eECh+gC9PcC0/gCAA==,AAECAZ8FAuvCAp74Ag5G8wX1BfkKg8cCuMcC48sC+9MC0eEC1uUCteYC/eoC4vgC1v4CAA==,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAuvCAtHhAovlAqbvAsf4AuL4AgA=,AAECAf0ECNACxQTTxQKgzgLCzgKb0wLy0wKj6wILTYoByQPsB5vCApbHApvLAtXhAtfhApbkAuL4AgA=,AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA,AAECAR8EhtMCy+wCgPMCoIADDY0B+wGXCKvCAtjCApzNAt3SAovhAuHjAu/1ArT2Arn4AuL4AgA=,
Canada,AAECAQcKogL8BPkM0cMC08UCze8CnfACkvgCnvgCoIADCkuiBN4F/webwgLK5wKD+wKO+wKe+wKz/AIA,AAECAa0GBpACxQTWCvsMkNMC4/cCDKEE5QT2B40I1QryDNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAfqUAwSvBJziAu/xAo+CAw0whAHOB8II9wybywL3zQKfzgLy0ALR4QKH6AL09wLT+AIA,AAECAZ8FCPIFjwm5wQKr0AK36QLZ/gLx/gKggAML+wHcA/QFzwb2B5vCAojHAqX1AuH+ApGAA8yBAwA=,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBO0FotMC7vYCvfoCDXG7ApUDtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICCLQDmdMCm+gC/esCmu4C4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8K+AjtCdPFAt3SAobTApziArbqAsvsAoDzAuL4AgqNAZcIq8IC2MICm8sCnM0Ci+EC4eMC8vECufgCAA==, 
Chile,AAECAQcI08UCz8cCw+oCze8CkvgCnvgCjvsCoIADC0uiAqIE/webwgKixwLK5wK67AKd8AKD+wKe+wIA,AAECAa0GBJACxQTWCpDTAg2hBOUE9geNCNUK8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICCCZAv4F88ICws4Cp+4CzfQCk4ADC70B0wHZB/AHsQiRwQKswgKbywKW6AKU7wKw8AIA,AAECAf0GBK8E980CnOICj4IDDTCEAc4Hwgj3DJvLAp/OAvLQAtHhAofoAu/xAvT3AtP4AgA=,AAECAZ8FAqcFnvgCDkbzBfkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBsgDrwTKywKe+ALi+ALn+gIMjALLA9QF8wX1Bd0IgcIC68IC0eECi+UCpu8Cx/gCAA==,AAECAf0EBnHtBb/BAqLTAu72Arn/Agy7ApUDqwS0BOYElgXsBcHBApjEAo/TAvvsApX/AgA=,AAECAZICApnTAuL4Ag5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wKE5gLX7wIA,AAECAR8ExwPJBIbTAqeCAw2eAagCtQOHBOsH/gyOwwKdzALXzQLd0gLf0gLj0gKL5QIA, 
China,AAECAQcIogLSApAHjs4Cws4Cn9MC6uoCkvgCC0uiBJEG/wf7DMzNAs/nApvzAvT1AuL4AoP7AgA=,AAECAa0GAvsMvsgCDvgC5QT2B6UJ0QrSCvIM0cEC2MECzswCpfUCl/YCkfsCzIEDAA==,AAECAaoICt4F+wzTxQKc4gKr5wLD6gKn7gLv9wLq+gKZ+wIKgQT1BP4F/wWyBpfBAsfBApvLAvPnAu/xAgA=,AAECAcn1AgijAdsGzAjTxQKgzgKX0wLb6QKc+AILigG2B5vCAufLAq7NAvLQAojSAtjlAujnAuL4AoCKAwA=,AAECAYsWBtwDucECt+kC4vgC8f4CoIADDEanBePLAqX1Apn3Apj7Avb9Atb+Atf+AuH+ApGAA8yBAwA=,AAECAYO6AgayAq8E8wX96gKe+ALn+gIMjALLA9QF9QXdCIHCAuvCAtHhAovlAqbvAsf4AuL4AgA=,AAECAa0GAvsMvsgCDvgC5QT2B6UJ0QrSCvIM0cEC2MECzswCpfUCl/YCkfsCzIEDAA==,AAECAbSKAwi0A8UEws4CmdMCm+gC4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAYoWBMkE6dIChtMCmPACDY0BqAK1A4cElwjbCf4M3dIC39IC49IC4eMC6uMCh/sCAA==, 
Czech Republic,AAECAQcKogLQAt4F+wzTxQLPxwKa7gKS+AKe+AKggAMKS6IE/webwgKixwLK5wK67AKd8ALi+AKe+wIA,AAECAa0GBsUE1Qr7DNPFAqDOApDTAgyQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICPUEl8EC88IC08UC688CnOICp+4C7/cCC/kD3gXzBf4F68ICysMCm8sC+9MC0eEC3+kC4vgCAA==,AAECAf0GBPMFnOIC7/ECj4IDDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA==,AAECAZ8FBK8Em8ICnvgCzIEDDUbzBfUFg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0ECNAC08UCz8cCoM4Cws4Cm9MC8tMCo+sCC02KAckD7AebwgKWxwLV4QLX4QKW5AK38QLi+AIA,AAECAZICBpnTApvoAv3rApruAr/yAuT7AgxAX+kB/gHkCKDNAofOApTSApjSAp7SAtvTAoTmAgA=,AAECAR8K+wX4CO0J08UChtMCnOICtuoCy+wCgPMC4vgCCo0BlwirwgLYwgKczQLd0gKL4QLh4wLy8QK5+AIA,
