,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter
Australia,Odd Warrior,Control Priest,Shudderwock Shaman,Control Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Austria,Odd Warrior,Combo Priest,Midrange Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Belarus,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Belgium,Odd Warrior,Combo Priest,Shudderwock Shaman,Cube Warlock,Mech Paladin,Quest Rogue,OTK Mage,Malygos Druid,Deathrattle Hunter
Brazil,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Bulgaria,Odd Warrior,Control Priest,Even Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Big Spell Mage,Token Druid,Deathrattle Hunter
Canada,Odd Warrior,Control Priest,Midrange Shaman,Zoo Warlock,Mech Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Chile,Odd Warrior,Control Priest,Even Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Token Druid,Midrange Hunter
China,Control Warrior,Combo Priest,Shudderwock Shaman,Control Warlock,Mech Paladin,Odd Rogue,Combo Priest,Malygos Druid,Spell Hunter
Czech Republic,Odd Warrior,Control Priest,Midrange Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Mill Druid,Deathrattle Hunter
Denmark,Odd Warrior,Control Priest,Midrange Shaman,Even Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Malygos Druid,Deathrattle Hunter
Finland,Odd Warrior,Control Priest,Even Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Big Spell Mage,Malygos Druid,Deathrattle Hunter
France,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Germany,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Miracle Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Greece,Odd Warrior,Control Priest,Midrange Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Hong Kong,Quest Warrior,Control Priest,Shudderwock Shaman,Big Spell Mage,Odd Paladin,Odd Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Hungary,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Indonesia,Odd Quest Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Israel,Odd Warrior,Control Priest,Shudderwock Shaman,Control Warlock,Odd Paladin,Odd Rogue,Big Spell Mage,Malygos Druid,Spell Hunter
Italy,Odd Warrior,Control Priest,Midrange Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Japan,Odd Warrior,Control Priest,Even Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Kazakhstan,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
South Korea,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Big Spell Mage,Malygos Druid,Deathrattle Hunter
Netherlands,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
New Zealand,Odd Warrior,Control Priest,Shudderwock Shaman,Control Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Norway,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Peru,Odd Warrior,Combo Priest,Shudderwock Shaman,Zoo Warlock,Mech Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Poland,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Token Druid,Spell Hunter
Portugal,Odd Warrior,Combo Priest,Shudderwock Shaman,Control Warlock,Mech Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Romania,Odd Warrior,Combo Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Russia,Odd Warrior,Combo Priest,Shudderwock Shaman,Even Warlock,Control Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Singapore,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Big Spell Mage,Malygos Druid,Deathrattle Hunter
Slovakia,Odd Warrior,Control Priest,Midrange Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Spell Hunter
Spain,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Sweden,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
Switzerland,Odd Warrior,Mecha'thun Priest,Shudderwock Shaman,Even Warlock,Even Paladin,Quest Rogue,Big Spell Mage,Malygos Druid,Deathrattle Hunter
Taiwan,Quest Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Odd Rogue,Big Spell Mage,Malygos Druid,Deathrattle Hunter
Thailand,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Ukraine,Odd Warrior,Control Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Quest Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
United Kingdom,Odd Warrior,Combo Priest,Shudderwock Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Big Spell Mage,Mill Druid,Deathrattle Hunter
United States,Odd Warrior,Control Priest,Midrange Shaman,Zoo Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Token Druid,Deathrattle Hunter
Vietnam,Odd Warrior,Control Priest,Shudderwock Shaman,Even Warlock,Odd Paladin,Odd Rogue,Tempo Mage,Malygos Druid,Deathrattle Hunter
