LEFT vs TOP,Even Warlock,Quest Rogue,Taunt Token Druid,Token Druid,Odd Rogue,Shudderwock Shaman,Shudderwock Pyro Shaman,Secret Hunter,Deathrattle Hunter,Taunt Druid,Odd Warrior,Malygos Druid,Malygos Tog Druid,Control Priest,Zoo Warlock,Odd Paladin,Cube Warlock,Mill Druid,Tempo Mage,Quest Warrior,Big Druid,Control Warrior,Mecha'thun Warlock,Spell Hunter,Even Shaman,Mecha'thun Warrior,Mecha'thun Priest,Combo Priest,Midrange Shaman,Odd Quest Warrior,OTK DK Paladin,Control Warlock
Even Warlock,50,35,64,64,40,55,58,58,45,40,49,47,50,45,64,71,56,64,36,62,46,66,66,47,59,78,66,48,65,51,51,77
Quest Rogue,,50,55,45,40,74,76,53,69,67,85,52,56,63,35,50,58,62,10,60,70,79,70,65,42,58,55,50,45,72,77,65
Taunt Token Druid,,,50,52,58,62,60,52,56,35,62,47,49,42,46,61,30,48,45,40,42,42,52,68,58,47,53,33,61,67,68,40
Token Druid,,,,50,63,62,55,52,56,35,58,45,47,42,46,61,30,46,47,36,42,40,52,68,58,45,53,33,61,67,68,40
Odd Rogue,,,,,50,47,47,46,57,54,24,36,36,56,56,38,69,32,71,35,54,36,71,39,61,30,75,77,69,30,55,49
Shudderwock Shaman,,,,,,50,50,57,44,59,87,35,35,55,49,53,46,42,35,70,36,68,43,56,41,45,24,49,43,71,70,56
Shudderwock Pyro Shaman,,,,,,,50,57,44,55,87,33,33,55,49,58,46,42,35,70,36,68,43,56,41,45,24,49,43,71,70,56
Secret Hunter,,,,,,,,50,55,41,35,55,60,45,52,42,55,57,57,42,47,55,58,53,45,60,68,67,56,30,44,39
Deathrattle Hunter,,,,,,,,,50,65,70,53,60,42,40,25,45,69,55,82,61,75,75,53,46,80,43,45,55,68,70,70
Taunt Druid,,,,,,,,,,50,64,55,58,58,45,45,56,61,42,62,54,79,68,69,40,77,37,40,44,68,63,75
Odd Warrior,,,,,,,,,,,50,56,25,42,71,69,40,22,72,30,61,15,9,53,51,10,10,50,50,25,15,54
Malygos Druid,,,,,,,,,,,,50,47,70,50,65,55,42,53,60,39,65,65,66,65,59,67,38,46,55,60,60
Malygos Tog Druid,,,,,,,,,,,,,50,70,45,62,52,45,52,58,39,65,65,66,65,59,70,38,46,55,60,60
Control Priest,,,,,,,,,,,,,,50,57,72,54,30,50,35,41,55,55,55,60,61,61,56,83,33,66,71
Zoo Warlock,,,,,,,,,,,,,,,50,55,51,50,59,45,49,50,50,41,40,43,69,51,58,27,45,36
Odd Paladin,,,,,,,,,,,,,,,,50,50,35,65,17,39,26,50,52,55,24,45,45,72,47,55,41
Cube Warlock,,,,,,,,,,,,,,,,,50,69,31,75,49,62,65,57,57,72,61,37,61,62,65,65
Mill Druid,,,,,,,,,,,,,,,,,,50,60,71,36,66,61,57,63,61,53,43,62,82,53,54
Tempo Mage,,,,,,,,,,,,,,,,,,,50,58,62,40,73,37,29,29,87,53,45,37,55,73
Quest Warrior,,,,,,,,,,,,,,,,,,,,50,32,69,50,61,49,65,50,44,70,45,46,67
Big Druid,,,,,,,,,,,,,,,,,,,,,50,61,69,64,52,75,47,42,41,38,40,56
Control Warrior,,,,,,,,,,,,,,,,,,,,,,50,19,41,52,40,22,50,65,26,27,41
Mecha'thun Warlock,,,,,,,,,,,,,,,,,,,,,,,50,44,53,73,45,50,75,46,35,55
Spell Hunter,,,,,,,,,,,,,,,,,,,,,,,,50,62,60,52,70,51,27,45,48
Even Shaman,,,,,,,,,,,,,,,,,,,,,,,,,50,49,58,66,66,51,60,69
Mecha'thun Warrior,,,,,,,,,,,,,,,,,,,,,,,,,,50,18,36,50,57,34,33
Mecha'thun Priest,,,,,,,,,,,,,,,,,,,,,,,,,,,50,31,48,65,75,27
Combo Priest,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45,43,46,60
Midrange Shaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,33,61,37
Odd Quest Warrior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,46,65
OTK DK Paladin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52
Control Warlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
