Battletag,Class,Deckstring
Activelee#1763,HUNTER,AAECAR8G+AiG0wKc4gK26gKA8wKggAMMjQGXCKvCAtjCAsrDApzNAt3SAovhAuHjAvLxArn4AtiMAwA=
Activelee#1763,PALADIN,AAECAaToAgr6AbMD7QXt0gKO0wLD6gKn9wL9+wKE/AK9hgMKnAKfA9wD9AX2B+PLAvz8Atn+As+GA+yGAwA=
Activelee#1763,PRIEST,AAECAZ/HAgbFBMrDAtPFAsnHApDTAuiUAwyQAqEE5QSNCNUK8gzRwQLo0ALL5gL86gKJ8QLoiQMA
Activelee#1763,ROGUE,AAECAaIHBrICyAOvBP3qAp74Auf6AgyMAssD1AXdCIHCAp/CAuvCAsrDAtHhAovlAqbvAvr+AgA=
Alan870806#1754,DRUID,AAECAZICCP4BtAPFBOQImdMCm+gC5PsC9fwCC0Bf6QHTA8QGoM0Ch84CmNICntIC29MCv/ICAA==
Alan870806#1754,HUNTER,AAECAR8MjQHHA4cEyQS7BZ3MAt/SAobTAuHjAsn4AqeCA5uFAwmoArUDgQqOwwLd0gLj0gKL5QKghQOkiAMA
Alan870806#1754,PALADIN,AAECAZ8FDLcE8gX6BooHlgm5wQKbywLCzgK36QLN9ALr9wL9+wIJ3AP0Bc8Grwf2B/4Hs8ECiMcClugCAA==
Alan870806#1754,PRIEST,AAECAa0GCMUE1Qr7DMrDAtPFApDTAonxAr3zAguQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gIA
amnesiac#11705,HUNTER,AAECAR8MjQGHBMkE3gS7Bd3SAt/SAobTAuHjAsn4AqeCA5uFAwmoArUDxwOBCo7DAuPSAovlAqCFA6SIAwA=
amnesiac#11705,PALADIN,AAECAZ8FCrMD7QXPBu3SAo7TAsPqAqf3Av37AoT8Ar2GAwqcAp8D3AP0BfYH48sC/PwC2f4Cz4YD7IYDAA==
amnesiac#11705,PRIEST,AAECAZ/HAgrFBNUK08UCyccCkNMCifECvfMC4/cC6IkD6JQDCpACoQTlBPYHjQjyDNHBAujQAsvmAvzqAgA=
amnesiac#11705,ROGUE,AAECAaIHBrICyAOvBP3qAp74Auf6AgyMAssD1AXdCIHCAp/CAuvCAsrDAtHhAovlAqbvAvr+AgA=
