,Token Druid,Taunt Druid,Malygos Druid,Mill Druid,Deathrattle Hunter,Secret Hunter,Murloc Mage,Odd Paladin,Deathrattle Paladin,Clone Priest,Combo Priest,Mecha'Thun Priest,Odd Rogue,Quest Rogue,Malygos Rogue,Even Shaman,Shudderwock Shaman,Zoo Warlock,Even Warlock,Cube Warlock,Odd Warrior
Token Druid,50.0,41.0,45.0,48.0,53.0,53.0,41.0,70.0,51.0,56.0,32.0,50.0,62.0,52.0,64.0,52.0,60.0,55.0,32.0,28.0,60.0
Taunt Druid,59.0,50.0,55.0,60.0,43.0,64.0,47.0,49.0,51.0,28.0,48.0,50.0,48.0,40.0,34.0,46.0,40.0,44.0,60.0,56.0,50.0
Malygos Druid,55.0,45.0,50.0,35.0,46.0,45.0,40.0,62.0,51.0,55.0,32.0,50.0,60.0,47.0,52.0,65.0,65.0,50.0,54.0,48.0,55.0
Mill Druid,52.0,40.0,65.0,50.0,27.0,42.0,53.0,64.0,28.0,48.0,46.0,50.0,66.0,29.0,52.0,69.0,59.0,46.0,29.0,41.0,80.0
Deathrattle Hunter,47.0,57.0,54.0,73.0,50.0,48.0,36.0,35.0,45.0,36.0,41.0,50.0,45.0,43.0,50.0,45.0,55.0,46.0,56.0,49.0,65.0
Secret Hunter,47.0,36.0,55.0,58.0,52.0,50.0,69.0,42.0,54.0,57.0,65.0,50.0,56.0,60.0,76.0,42.0,42.0,55.0,38.0,45.0,35.0
Murloc Mage,59.0,53.0,60.0,47.0,64.0,31.0,50.0,16.0,62.0,75.0,62.0,50.0,23.0,78.0,78.0,34.0,64.0,35.0,57.0,62.0,41.0
Odd Paladin,30.0,51.0,38.0,36.0,65.0,58.0,84.0,50.0,52.0,59.0,44.0,50.0,65.0,50.0,80.0,56.0,50.0,50.0,38.0,48.0,45.0
Deathrattle Paladin,49.0,49.0,49.0,72.0,55.0,46.0,38.0,48.0,50.0,31.0,36.0,50.0,41.0,39.0,37.0,38.0,37.0,46.0,68.0,54.0,54.0
Clone Priest,44.0,72.0,45.0,52.0,64.0,43.0,25.0,41.0,69.0,50.0,40.0,50.0,27.0,38.0,29.0,38.0,59.0,30.0,61.0,62.0,65.0
Combo Priest,68.0,52.0,68.0,54.0,59.0,35.0,38.0,56.0,64.0,60.0,50.0,50.0,32.0,52.0,60.0,32.0,54.0,54.0,43.0,56.0,34.0
Mecha'Thun Priest,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Odd Rogue,38.0,52.0,40.0,34.0,55.0,44.0,77.0,35.0,59.0,73.0,68.0,50.0,50.0,65.0,86.0,56.0,45.0,57.0,58.0,64.0,25.0
Quest Rogue,48.0,60.0,53.0,71.0,57.0,40.0,22.0,50.0,61.0,62.0,48.0,50.0,35.0,50.0,41.0,30.0,66.0,30.0,62.0,37.0,80.0
Malygos Rogue,36.0,66.0,48.0,48.0,50.0,24.0,22.0,20.0,63.0,71.0,40.0,50.0,14.0,59.0,50.0,26.0,65.0,14.0,52.0,55.0,58.0
Even Shaman,48.0,54.0,35.0,31.0,55.0,58.0,66.0,44.0,62.0,62.0,68.0,50.0,44.0,70.0,74.0,50.0,62.0,64.0,44.0,53.0,57.0
Shudderwock Shaman,40.0,60.0,35.0,41.0,45.0,58.0,36.0,50.0,63.0,41.0,46.0,50.0,55.0,34.0,35.0,38.0,50.0,55.0,50.0,41.0,80.0
Zoo Warlock,45.0,56.0,50.0,54.0,54.0,45.0,65.0,50.0,54.0,70.0,46.0,50.0,43.0,70.0,86.0,36.0,45.0,50.0,40.0,45.0,32.0
Even Warlock,68.0,40.0,46.0,71.0,44.0,62.0,43.0,62.0,32.0,39.0,57.0,50.0,42.0,38.0,48.0,56.0,50.0,60.0,50.0,50.0,50.0
Cube Warlock,72.0,44.0,52.0,59.0,51.0,55.0,38.0,52.0,46.0,38.0,44.0,50.0,36.0,63.0,45.0,47.0,59.0,55.0,50.0,50.0,53.0
Odd Warrior,40.0,50.0,45.0,20.0,35.0,65.0,59.0,55.0,46.0,35.0,66.0,50.0,75.0,20.0,42.0,43.0,20.0,68.0,50.0,47.0,50.0
