,Token Druid,Taunt Druid,Malygos Druid,Deathrattle Hunter,Secret Hunter,Odd Paladin,Odd Rogue,Quest Rogue,Shudderwock Shaman,Zoo Warlock,Even Warlock,Odd Warrior
Token Druid,50,41,45,53,53,70,62,52,60,55,32,60
Taunt Druid,,50,55,43,64,49,48,40,40,44,60,50
Malygos Druid,,,50,46,45,62,60,47,65,50,54,55
Deathrattle Hunter,,,,50,48,35,45,43,55,46,56,65
Secret Hunter,,,,,50,42,56,60,42,55,38,35
Odd Paladin,,,,,,50,65,50,50,50,38,45
Odd Rogue,,,,,,,50,65,45,57,58,25
Quest Rogue,,,,,,,,50,66,30,62,80
Shudderwock Shaman,,,,,,,,,50,55,50,80
Zoo Warlock,,,,,,,,,,50,40,32
Even Warlock,,,,,,,,,,,50,50
Odd Warrior,,,,,,,,,,,,50
