 ,Tempo Rogue,Razakus Priest,Zoo Warlock,Aggro-Token Druid,Jade Druid,Big Druid,Big Priest,Control Mage,Midrange Hunter,Token Shaman,Control Warlock,Murloc Paladin,Secret Mage,Exodia Mage,Dragon Priest,Miracle Rogue,
Tempo Rogue,0.5,0.4815063484677259,0.5544305988231222,0.4701627332367726,0.5480769230769231,0.5308853630236106,0.5048914748581044,0.5348360655737705,0.5490661601772713,0.5225849502104507,0.5306069651741294,0.5742795310103003,0.6133884860878727,0.6328555288801017,0.5348101265822784,0.5634328358208955,
Razakus Priest,0.5184936515322741,0.5,0.5189560817787569,0.512807881773399,0.4081336238198983,0.3709387104123946,0.4476854787571338,0.5120699223085461,0.4859843784217826,0.5185185185185186,0.6593489341983318,0.4683414411675281,0.5049969715324045,0.49225955204216076,0.46345811051693403,0.6136788048552755,
Zoo Warlock,0.4455694011768778,0.48104391822124315,0.5,0.5066515495086924,0.5849072802197802,0.42481590574374084,0.3755865351921115,0.6761279268989149,0.580338266384778,0.5697996589940324,0.5107496194824962,0.4575167571018194,0.6623255813953488,0.6243252361673415,0.4247438928289992,0.6282991202346041,
Aggro-Token Druid,0.5298372667632274,0.487192118226601,0.4933484504913076,0.5,0.6885566188197767,0.5430546825895664,0.4080571799870045,0.47494519260883183,0.4814722499169159,0.5127314814814815,0.37610229276895946,0.4905437352245863,0.6120744010088273,0.602051282051282,0.5,0.6,
Jade Druid,0.45192307692307687,0.5918663761801017,0.4150927197802198,0.3114433811802233,0.5,0.46546193327630453,0.6144335825186888,0.520159151193634,0.4642857142857143,0.5114329268292683,0.5363636363636364,0.423963133640553,0.41129032258064513,0.3961352657004831,0.3398550724637681,0.5583333333333333,
Big Druid,0.46911463697638944,0.6290612895876053,0.5751840942562592,0.45694531741043365,0.5345380667236954,0.5,0.5383547700564448,0.5623100303951367,0.467552026286966,0.6452488687782806,0.8018939393939394,0.4431818181818181,0.3519091847265222,0.4336075205640423,0.46944444444444444,0.44043887147335425,
Big Priest,0.49510852514189563,0.5523145212428662,0.6244134648078885,0.5919428200129955,0.38556641748131115,0.46164522994355517,0.5,0.5363379558294812,0.33055555555555555,0.5820707070707071,0.6593662628145387,0.4744094488188976,0.40272556390977443,0.2625,0.6107692307692307,0.4880952380952381,
Control Mage,0.4651639344262295,0.4879300776914539,0.3238720731010851,0.5250548073911682,0.479840848806366,0.4376899696048633,0.4636620441705188,0.5,0.4574468085106383,0.4729064039408867,0.5,0.42012820512820515,0.32196969696969696,0.5543766578249337,0.6214285714285714,0.5,
Midrange Hunter,0.4509338398227287,0.5140156215782175,0.41966173361522197,0.518527750083084,0.5357142857142857,0.532447973713034,0.6694444444444445,0.5425531914893618,0.5,0.4308823529411765,0.5716666666666668,0.29954233409610986,0.6205533596837944,0.7455357142857143,0.4892857142857143,0.5,
Token Shaman,0.4774150497895493,0.4814814814814814,0.4302003410059676,0.4872685185185185,0.48856707317073167,0.3547511312217194,0.41792929292929293,0.5270935960591133,0.5691176470588235,0.5,0.32575757575757575,0.564312736443884,0.6148325358851674,0.5558823529411765,0.3621794871794872,0.6181818181818182,
Control Warlock,0.4693930348258706,0.34065106580166815,0.4892503805175038,0.6238977072310405,0.4636363636363636,0.19810606060606062,0.3406337371854613,0.5,0.42833333333333323,0.6742424242424243,0.5,0.5975490196078431,0.28869047619047616,0.3660714285714286,0.4642857142857143,0.5,
Murloc Paladin,0.42572046898969973,0.5316585588324718,0.5424832428981806,0.5094562647754137,0.5760368663594471,0.5568181818181819,0.5255905511811023,0.5798717948717949,0.7004576659038901,0.435687263556116,0.4024509803921569,0.5,0.630225988700565,0.6444444444444444,0.5446428571428572,0.4935897435897436,
Secret Mage,0.38661151391212734,0.4950030284675955,0.3376744186046512,0.38792559899117274,0.5887096774193549,0.6480908152734778,0.5972744360902256,0.678030303030303,0.37944664031620556,0.3851674641148326,0.7113095238095238,0.369774011299435,0.5,0.79,0.5,0.4916666666666667,
Exodia Mage,0.36714447111989834,0.5077404479578392,0.3756747638326585,0.397948717948718,0.6038647342995169,0.5663924794359577,0.7375,0.4456233421750663,0.2544642857142857,0.4441176470588235,0.6339285714285714,0.3555555555555556,0.20999999999999996,0.5,0.5681818181818181,0.5,
Dragon Priest,0.46518987341772156,0.536541889483066,0.5752561071710007,0.5,0.6601449275362319,0.5305555555555556,0.38923076923076927,0.37857142857142856,0.5107142857142857,0.6378205128205128,0.5357142857142857,0.4553571428571428,0.5,0.4318181818181819,0.5,0.5,
Miracle Rogue,0.43656716417910446,0.3863211951447245,0.3717008797653959,0.4,0.44166666666666665,0.5595611285266457,0.5119047619047619,0.5,0.5,0.38181818181818183,0.5,0.5064102564102564,0.5083333333333333,0.5,0.5,0.5,
Overall,0.5226262056323391,0.49456495151996704,0.5020578634023246,0.5167786942509939,0.47379220814536804,0.5280779005203594,0.5101069251370628,0.4592549703394472,0.5034916656058136,0.47371407107663943,0.44702403461071655,0.518971757535217,0.4791997507396311,0.454841526885991,0.5115304915112199,0.44578576009660864,
